controller,aggregation,tail_threshold,asym_threshold,dwell_minutes,occupied_records,request_records,request_share_pct,warm_request_share_pct,applied_actions,actions_per_occupied_day,blocked_by_dwell,blocked_by_bounds,reversals_within_2h,min_offset_c,max_offset_c,mean_signal_p_tail,p95_signal_p_tail,high_tail_share_pct
tail_asym,p90,0.2,0.05,120,16704,7928,47.46168582375479,99.02875882946519,52,0.2988505747126437,130,7746,1,-2.0,2.0,0.16205001056209245,0.38119480770158765,30.052681992337163
tail_asym,p90,0.2,0.1,0,16704,6544,39.17624521072797,100.0,4,0.022988505747126436,0,6540,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
tail_asym,p90,0.2,0.1,60,16704,6544,39.17624521072797,100.0,4,0.022988505747126436,5,6535,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
tail_asym,p90,0.2,0.1,120,16704,6544,39.17624521072797,100.0,4,0.022988505747126436,12,6528,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
tail_asym,p90,0.3,0.05,0,16704,7928,47.46168582375479,99.02875882946519,80,0.45977011494252873,0,7848,1,-2.0,2.0,0.16205001056209245,0.38119480770158765,16.08596743295019
tail_asym,p90,0.3,0.05,60,16704,7928,47.46168582375479,99.02875882946519,62,0.3563218390804598,90,7776,1,-2.0,2.0,0.16205001056209245,0.38119480770158765,16.08596743295019
tail_asym,p90,0.3,0.05,120,16704,7928,47.46168582375479,99.02875882946519,52,0.2988505747126437,130,7746,1,-2.0,2.0,0.16205001056209245,0.38119480770158765,16.08596743295019
tail_asym,p90,0.3,0.1,0,16704,6544,39.17624521072797,100.0,4,0.022988505747126436,0,6540,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,16.08596743295019
tail_asym,p90,0.3,0.1,60,16704,6544,39.17624521072797,100.0,4,0.022988505747126436,5,6535,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,16.08596743295019
tail_asym,p90,0.3,0.1,120,16704,6544,39.17624521072797,100.0,4,0.022988505747126436,12,6528,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,16.08596743295019
gate_tail_asym,p90,0.1,0.05,0,16704,7855,47.024664750957854,99.92361553150859,16,0.09195402298850575,0,7839,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,47.066570881226056
gate_tail_asym,p90,0.1,0.05,60,16704,7855,47.024664750957854,99.92361553150859,12,0.06896551724137931,10,7833,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,47.066570881226056
gate_tail_asym,p90,0.1,0.05,120,16704,7855,47.024664750957854,99.92361553150859,12,0.06896551724137931,20,7823,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,47.066570881226056
gate_tail_asym,p90,0.1,0.1,0,16704,6544,39.17624521072797,100.0,4,0.022988505747126436,0,6540,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,47.066570881226056
gate_tail_asym,p90,0.1,0.1,60,16704,6544,39.17624521072797,100.0,4,0.022988505747126436,5,6535,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,47.066570881226056
gate_tail_asym,p90,0.1,0.1,120,16704,6544,39.17624521072797,100.0,4,0.022988505747126436,12,6528,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,47.066570881226056
gate_tail_asym,p90,0.2,0.05,0,16704,5020,30.052681992337163,100.0,4,0.022988505747126436,0,5016,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
gate_tail_asym,p90,0.2,0.05,60,16704,5020,30.052681992337163,100.0,4,0.022988505747126436,4,5012,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
gate_tail_asym,p90,0.2,0.05,120,16704,5020,30.052681992337163,100.0,4,0.022988505747126436,8,5008,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
gate_tail_asym,p90,0.2,0.1,0,16704,5020,30.052681992337163,100.0,4,0.022988505747126436,0,5016,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
gate_tail_asym,p90,0.2,0.1,60,16704,5020,30.052681992337163,100.0,4,0.022988505747126436,4,5012,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
gate_tail_asym,p90,0.2,0.1,120,16704,5020,30.052681992337163,100.0,4,0.022988505747126436,8,5008,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,30.052681992337163
gate_tail_asym,p90,0.3,0.05,0,16704,2687,16.08596743295019,100.0,4,0.022988505747126436,0,2683,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,16.08596743295019
gate_tail_asym,p90,0.3,0.05,60,16704,2687,16.08596743295019,100.0,4,0.022988505747126436,6,2677,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,16.08596743295019
gate_tail_asym,p90,0.3,0.05,120,16704,2687,16.08596743295019,100.0,4,0.022988505747126436,14,2669,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,16.08596743295019
gate_tail_asym,p90,0.3,0.1,0,16704,2687,16.08596743295019,100.0,4,0.022988505747126436,0,2683,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,16.08596743295019
gate_tail_asym,p90,0.3,0.1,60,16704,2687,16.08596743295019,100.0,4,0.022988505747126436,6,2677,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,16.08596743295019
gate_tail_asym,p90,0.3,0.1,120,16704,2687,16.08596743295019,100.0,4,0.022988505747126436,14,2669,0,-2.0,0.0,0.16205001056209245,0.38119480770158765,16.08596743295019
reference,max,0.2,0.1,0,16704,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
reference,max,0.2,0.1,60,16704,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
reference,max,0.2,0.1,120,16704,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
pmv_rule,max,0.2,0.1,0,16704,5802,34.73419540229885,97.24233023095485,12,0.06896551724137931,0,5790,0,-2.0,2.0,0.18415427831288092,0.4244617555051217,38.05675287356322
pmv_rule,max,0.2,0.1,60,16704,5802,34.73419540229885,97.24233023095485,12,0.06896551724137931,35,5755,0,-2.0,2.0,0.18415427831288092,0.4244617555051217,38.05675287356322
pmv_rule,max,0.2,0.1,120,16704,5802,34.73419540229885,97.24233023095485,12,0.06896551724137931,56,5734,0,-2.0,2.0,0.18415427831288092,0.4244617555051217,38.05675287356322
expected_tsv_rule,max,0.2,0.1,0,16704,7295,43.672174329501914,100.0,4,0.022988505747126436,0,7291,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
expected_tsv_rule,max,0.2,0.1,60,16704,7295,43.672174329501914,100.0,4,0.022988505747126436,7,7284,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
expected_tsv_rule,max,0.2,0.1,120,16704,7295,43.672174329501914,100.0,4,0.022988505747126436,11,7280,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
total_tail_mu,max,0.1,0.1,0,16704,8893,53.23874521072797,99.68514562015068,48,0.27586206896551724,0,8845,2,-2.0,2.0,0.18415427831288092,0.4244617555051217,53.23874521072797
total_tail_mu,max,0.1,0.1,60,16704,8893,53.23874521072797,99.68514562015068,30,0.1724137931034483,44,8819,0,-2.0,2.0,0.18415427831288092,0.4244617555051217,53.23874521072797
total_tail_mu,max,0.1,0.1,120,16704,8893,53.23874521072797,99.68514562015068,24,0.13793103448275862,53,8816,0,-2.0,1.0,0.18415427831288092,0.4244617555051217,53.23874521072797
total_tail_mu,max,0.2,0.1,0,16704,6357,38.05675287356322,100.0,4,0.022988505747126436,0,6353,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
total_tail_mu,max,0.2,0.1,60,16704,6357,38.05675287356322,100.0,4,0.022988505747126436,3,6350,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
total_tail_mu,max,0.2,0.1,120,16704,6357,38.05675287356322,100.0,4,0.022988505747126436,3,6350,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
total_tail_mu,max,0.3,0.1,0,16704,3604,21.575670498084293,100.0,4,0.022988505747126436,0,3600,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
total_tail_mu,max,0.3,0.1,60,16704,3604,21.575670498084293,100.0,4,0.022988505747126436,1,3599,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
total_tail_mu,max,0.3,0.1,120,16704,3604,21.575670498084293,100.0,4,0.022988505747126436,5,3595,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
tail_asym,max,0.1,0.05,0,16704,8981,53.76556513409962,98.63044204431577,120,0.6896551724137931,0,8861,2,-2.0,2.0,0.18415427831288092,0.4244617555051217,53.23874521072797
tail_asym,max,0.1,0.05,60,16704,8981,53.76556513409962,98.63044204431577,78,0.4482758620689655,127,8776,3,-2.0,2.0,0.18415427831288092,0.4244617555051217,53.23874521072797
tail_asym,max,0.1,0.05,120,16704,8981,53.76556513409962,98.63044204431577,64,0.367816091954023,185,8732,1,-2.0,2.0,0.18415427831288092,0.4244617555051217,53.23874521072797
tail_asym,max,0.1,0.1,0,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,0,7471,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,53.23874521072797
tail_asym,max,0.1,0.1,60,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,9,7462,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,53.23874521072797
tail_asym,max,0.1,0.1,120,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,15,7456,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,53.23874521072797
tail_asym,max,0.2,0.05,0,16704,8981,53.76556513409962,98.63044204431577,120,0.6896551724137931,0,8861,2,-2.0,2.0,0.18415427831288092,0.4244617555051217,38.05675287356322
tail_asym,max,0.2,0.05,60,16704,8981,53.76556513409962,98.63044204431577,78,0.4482758620689655,127,8776,3,-2.0,2.0,0.18415427831288092,0.4244617555051217,38.05675287356322
tail_asym,max,0.2,0.05,120,16704,8981,53.76556513409962,98.63044204431577,64,0.367816091954023,185,8732,1,-2.0,2.0,0.18415427831288092,0.4244617555051217,38.05675287356322
tail_asym,max,0.2,0.1,0,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,0,7471,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
tail_asym,max,0.2,0.1,60,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,9,7462,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
tail_asym,max,0.2,0.1,120,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,15,7456,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
tail_asym,max,0.3,0.05,0,16704,8981,53.76556513409962,98.63044204431577,120,0.6896551724137931,0,8861,2,-2.0,2.0,0.18415427831288092,0.4244617555051217,21.575670498084293
tail_asym,max,0.3,0.05,60,16704,8981,53.76556513409962,98.63044204431577,78,0.4482758620689655,127,8776,3,-2.0,2.0,0.18415427831288092,0.4244617555051217,21.575670498084293
tail_asym,max,0.3,0.05,120,16704,8981,53.76556513409962,98.63044204431577,64,0.367816091954023,185,8732,1,-2.0,2.0,0.18415427831288092,0.4244617555051217,21.575670498084293
tail_asym,max,0.3,0.1,0,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,0,7471,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
tail_asym,max,0.3,0.1,60,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,9,7462,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
tail_asym,max,0.3,0.1,120,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,15,7456,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
gate_tail_asym,max,0.1,0.05,0,16704,8875,53.13098659003831,99.79718309859155,34,0.19540229885057472,0,8841,0,-2.0,2.0,0.18415427831288092,0.4244617555051217,53.23874521072797
gate_tail_asym,max,0.1,0.05,60,16704,8875,53.13098659003831,99.79718309859155,22,0.12643678160919541,32,8821,0,-2.0,1.5,0.18415427831288092,0.4244617555051217,53.23874521072797
gate_tail_asym,max,0.1,0.05,120,16704,8875,53.13098659003831,99.79718309859155,18,0.10344827586206896,44,8813,0,-2.0,0.5,0.18415427831288092,0.4244617555051217,53.23874521072797
gate_tail_asym,max,0.1,0.1,0,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,0,7471,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,53.23874521072797
gate_tail_asym,max,0.1,0.1,60,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,9,7462,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,53.23874521072797
gate_tail_asym,max,0.1,0.1,120,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,15,7456,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,53.23874521072797
gate_tail_asym,max,0.2,0.05,0,16704,6357,38.05675287356322,100.0,4,0.022988505747126436,0,6353,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
gate_tail_asym,max,0.2,0.05,60,16704,6357,38.05675287356322,100.0,4,0.022988505747126436,3,6350,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
gate_tail_asym,max,0.2,0.05,120,16704,6357,38.05675287356322,100.0,4,0.022988505747126436,3,6350,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
gate_tail_asym,max,0.2,0.1,0,16704,6357,38.05675287356322,100.0,4,0.022988505747126436,0,6353,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
gate_tail_asym,max,0.2,0.1,60,16704,6357,38.05675287356322,100.0,4,0.022988505747126436,3,6350,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
gate_tail_asym,max,0.2,0.1,120,16704,6357,38.05675287356322,100.0,4,0.022988505747126436,3,6350,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
gate_tail_asym,max,0.3,0.05,0,16704,3604,21.575670498084293,100.0,4,0.022988505747126436,0,3600,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
gate_tail_asym,max,0.3,0.05,60,16704,3604,21.575670498084293,100.0,4,0.022988505747126436,1,3599,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
gate_tail_asym,max,0.3,0.05,120,16704,3604,21.575670498084293,100.0,4,0.022988505747126436,5,3595,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
gate_tail_asym,max,0.3,0.1,0,16704,3604,21.575670498084293,100.0,4,0.022988505747126436,0,3600,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
gate_tail_asym,max,0.3,0.1,60,16704,3604,21.575670498084293,100.0,4,0.022988505747126436,1,3599,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
gate_tail_asym,max,0.3,0.1,120,16704,3604,21.575670498084293,100.0,4,0.022988505747126436,5,3595,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
