sweep_case,ppd_protect_threshold,weather,strategy,occupied_steps,electricity_kwh,natural_gas_kwh,mean_top_c,mean_pmv,mean_ppd_pct,ppd_gt_10_pct,ppd_gt_25_pct,ppd_gt_50_pct,pmv_abs_gt_0_5_pct,pmv_abs_gt_1_0_pct,adaptive_violation_pct,mean_p_tail,p95_p_tail,p_tail_ge_0_20_pct,mean_warm_tail,mean_cold_tail,cooling_sp_mean_c,cooling_sp_max_c,heating_sp_mean_c,heating_sp_min_c,warm_requests_pct,cold_requests_pct,no_risk_requests_pct,warm_protection_actions,cold_protection_actions,energy_relax_actions,guard_hold_records,idle_actions,dominant_request_source,max_zone_p_tail_ge_0_20_pct,max_zone_mean_p_tail,electricity_change_vs_reference_pct
ppd_protect_20p0,20.0,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,diagnostic_reference,640,24711.329024909137,877.1392428317896,26.10592862662113,0.52609375,12.457966063725726,49.6875,8.90625,0.0,49.53125,8.125,0.15625,0.1129367387697061,0.2720258383000776,11.09375,0.0879869170212093,0.0249498217484968,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,43.75,0.1764605460919242,0.0
ppd_protect_20p0,20.0,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_gate_tail_asym_relax,640,24199.044338391584,877.1231833428878,26.330131532354464,0.5835385416666666,13.509415805173813,54.84375,9.375,0.0,54.6875,8.90625,0.0,0.1209516107405797,0.2784401451664391,12.03125,0.0975591082332865,0.023392502507293,24.4171875,24.5,21.50234375,21.5,12.03125,0.0,87.96875,9,0,19,0,612,none,44.0625,0.184961292608225,-2.0730762234648203
ppd_protect_20p0,20.0,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_pmv_exceedance_guard_relax,640,24241.79122207684,877.1239030570089,26.32265472635526,0.5819239583333333,13.627880456508962,56.09375,9.6875,0.0,54.53125,8.75,0.0,0.1210510251198382,0.2798237179669823,12.34375,0.0974756368611353,0.0235753882587028,24.367835807800297,24.5,21.57016716003418,21.5,8.75,0.0,91.25,16,0,11,293,613,pmv_mild_hold,43.90625,0.1848789897652058,-1.900091259191272
ppd_protect_20p0,20.0,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_pmv_relax,640,24346.11390679385,877.1245436657331,26.31925940905025,0.5829645833333333,13.689307328308756,56.56250000000001,10.0,0.0,54.84375,9.375,0.0,0.1222081509679489,0.2858615038225384,12.1875,0.0984563862056016,0.0237517647623472,24.112109291553494,24.5,21.555663961172105,21.5,54.84375,0.0,45.15625,58,0,38,0,544,pmv_warm,46.40625,0.1877779884963256,-1.4779258442439436
ppd_protect_20p0,20.0,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_ppd_guard_relax,640,24274.88580546865,877.1240129910836,26.319763421206364,0.5816250000000001,13.614995738514107,56.09375,9.53125,0.0,54.53125,8.75,0.0,0.1210905693681268,0.2779050886921092,12.5,0.0974674252453609,0.0236231441227658,24.312504863739015,24.5,21.55996499061585,21.5,16.875,0.0,83.125,27,0,16,251,597,none,44.21875,0.1853724864444031,-1.7661665182012287
ppd_protect_20p0,20.0,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,reference,640,24711.329024909137,877.1392428317896,26.10592862662113,0.52609375,12.457966063725726,49.6875,8.90625,0.0,49.53125,8.125,0.15625,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
ppd_protect_25p0,25.0,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,diagnostic_reference,640,24711.329024909137,877.1392428317896,26.10592862662113,0.52609375,12.457966063725726,49.6875,8.90625,0.0,49.53125,8.125,0.15625,0.1129367387697061,0.2720258383000776,11.09375,0.0879869170212093,0.0249498217484968,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,43.75,0.1764605460919242,0.0
ppd_protect_25p0,25.0,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_gate_tail_asym_relax,640,24199.044338391584,877.1231833428878,26.330131532354464,0.5835385416666666,13.509415805173813,54.84375,9.375,0.0,54.6875,8.90625,0.0,0.1209516107405797,0.2784401451664391,12.03125,0.0975591082332865,0.023392502507293,24.4171875,24.5,21.50234375,21.5,12.03125,0.0,87.96875,9,0,19,0,612,none,44.0625,0.184961292608225,-2.0730762234648203
ppd_protect_25p0,25.0,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_pmv_exceedance_guard_relax,640,24241.79122207684,877.1239030570089,26.32265472635526,0.5819239583333333,13.627880456508962,56.09375,9.6875,0.0,54.53125,8.75,0.0,0.1210510251198382,0.2798237179669823,12.34375,0.0974756368611353,0.0235753882587028,24.367835807800297,24.5,21.57016716003418,21.5,8.75,0.0,91.25,16,0,11,293,613,pmv_mild_hold,43.90625,0.1848789897652058,-1.900091259191272
ppd_protect_25p0,25.0,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_pmv_relax,640,24346.11390679385,877.1245436657331,26.31925940905025,0.5829645833333333,13.689307328308756,56.56250000000001,10.0,0.0,54.84375,9.375,0.0,0.1222081509679489,0.2858615038225384,12.1875,0.0984563862056016,0.0237517647623472,24.112109291553494,24.5,21.555663961172105,21.5,54.84375,0.0,45.15625,58,0,38,0,544,pmv_warm,46.40625,0.1877779884963256,-1.4779258442439436
ppd_protect_25p0,25.0,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_ppd_guard_relax,640,24246.22793650794,877.1239081937529,26.322500079849096,0.581959375,13.62835317730968,56.09375,9.6875,0.0,54.53125,8.75,0.0,0.1210918503127737,0.2798237179669823,12.34375,0.0975088455151211,0.0235830047976524,24.35942554473877,24.5,21.563325500488283,21.5,9.6875,0.0,90.3125,17,0,11,297,612,ppd_hold,44.0625,0.1850332459168161,-1.88213708753735
ppd_protect_25p0,25.0,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,reference,640,24711.329024909137,877.1392428317896,26.10592862662113,0.52609375,12.457966063725726,49.6875,8.90625,0.0,49.53125,8.125,0.15625,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
ppd_protect_50p0,50.0,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,diagnostic_reference,640,24711.329024909137,877.1392428317896,26.10592862662113,0.52609375,12.457966063725726,49.6875,8.90625,0.0,49.53125,8.125,0.15625,0.1129367387697061,0.2720258383000776,11.09375,0.0879869170212093,0.0249498217484968,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,43.75,0.1764605460919242,0.0
ppd_protect_50p0,50.0,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_gate_tail_asym_relax,640,24199.044338391584,877.1231833428878,26.330131532354464,0.5835385416666666,13.509415805173813,54.84375,9.375,0.0,54.6875,8.90625,0.0,0.1209516107405797,0.2784401451664391,12.03125,0.0975591082332865,0.023392502507293,24.4171875,24.5,21.50234375,21.5,12.03125,0.0,87.96875,9,0,19,0,612,none,44.0625,0.184961292608225,-2.0730762234648203
ppd_protect_50p0,50.0,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_pmv_exceedance_guard_relax,640,24241.79122207684,877.1239030570089,26.32265472635526,0.5819239583333333,13.627880456508962,56.09375,9.6875,0.0,54.53125,8.75,0.0,0.1210510251198382,0.2798237179669823,12.34375,0.0974756368611353,0.0235753882587028,24.367835807800297,24.5,21.57016716003418,21.5,8.75,0.0,91.25,16,0,11,293,613,pmv_mild_hold,43.90625,0.1848789897652058,-1.900091259191272
ppd_protect_50p0,50.0,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_pmv_relax,640,24346.11390679385,877.1245436657331,26.31925940905025,0.5829645833333333,13.689307328308756,56.56250000000001,10.0,0.0,54.84375,9.375,0.0,0.1222081509679489,0.2858615038225384,12.1875,0.0984563862056016,0.0237517647623472,24.112109291553494,24.5,21.555663961172105,21.5,54.84375,0.0,45.15625,58,0,38,0,544,pmv_warm,46.40625,0.1877779884963256,-1.4779258442439436
ppd_protect_50p0,50.0,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,paperb_ppd_guard_relax,640,24240.27678376211,877.1238046943836,26.322342676543816,0.5817947916666666,13.6235582961146,56.09375,9.6875,0.0,54.53125,8.75,0.0,0.1210224237453919,0.2776293393666726,12.34375,0.0974412950385592,0.0235811287068325,24.3984375,24.5,21.6015625,21.5,0.0,0.0,100.0,0,0,10,359,630,ppd_hold,44.21875,0.184994297459974,-1.9062197774640244
ppd_protect_50p0,50.0,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,reference,640,24711.329024909137,877.1392428317896,26.10592862662113,0.52609375,12.457966063725726,49.6875,8.90625,0.0,49.53125,8.125,0.15625,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
